id,horns,horns_branches,horns_semicircle_shape,horns_thickening,horns_axis,ears
2-11-1-5,1,1,0,0,0,0
2-11-1-6,1,1,1,1,0,0
2-11-1-7,1,0,0,0,0,0
2-11-1-8,1,0,1,0,1,0
2-13-1,1,1,1,1,1,0
2-13-2,1,0,0,1,1,0
2-13-3,1,0,0,1,1,0
2-13-4,1,1,0,1,1,0
2-13-5,1,1,1,0,0,0
2-13-6,1,0,1,1,1,0
2-13-7,1,0,0,0,1,0
2-14-2-1,1,0,0,1,1,0
2-14-2-2,1,0,0,0,1,0
2-14-2-3,1,0,1,0,0,0
2-14-2-4,1,0,1,0,1,0
2-14-2-5,1,0,0,0,1,0
2-14-2-6,1,0,0,1,1,0
2-16-1-1,1,1,0,1,1,0
2-16-1-2,1,0,,,1,0
2-16-1-3,1,1,1,1,1,1
2-16-1-4,1,0,0,0,1,0
2-16-1-5,1,1,0,1,1,1
2-16-1-6,1,0,1,1,1,0
2-16-1-7,1,1,0,0,1,0
2-16-1-8,1,1,1,1,1,0
2-16-1-9,1,0,1,0,1,0
2-16-2-1,1,1,0,1,1,0
2-16-2-2,0,,,,,0
2-16-2-3,1,1,0,0,1,0
2-17-2,1,1,0,1,0,0
2-17-3,1,1,0,1,1,1
2-17-4,1,1,0,1,1,0
2-17-5,1,1,1,1,0,0
2-17-6,0,,,,,0
2-18-1,1,1,0,0,1,0
2-21-1,1,0,0,1,0,0
2-21-2,1,1,0,1,1,0
2-21-3,1,1,1,0,1,0
2-21-4,1,0,0,0,1,0
2-21-5,1,0,1,1,1,0
2-23-1,1,0,0,0,1,0
2-23-2,1,0,0,0,1,0
2-23-3,1,0,0,0,1,0
2-24-1,1,1,1,1,1,0
2-24-2,1,1,0,1,1,1
2-24-3,1,1,0,1,1,1
2-24-4,1,1,1,1,1,0
2-24-6,1,1,0,1,1,0
2-24-7,1,1,0,1,1,1
2-24-8,1,0,0,1,1,0
2-24-9,1,1,0,0,1,0
2-24-10,1,0,1,1,0,0
2-24-11,0,,,,,0
2-24-12,1,1,0,1,1,0
2-25-1,1,1,0,0,1,0
2-26-1,1,1,1,1,1,1
2-27-1,1,1,0,1,1,0
2-27-2,1,1,1,1,0,0
2-27-3,1,1,0,1,1,0
2-27-4,1,1,0,1,1,0
2-27-5,1,0,0,0,1,0
2-27-6,1,1,0,0,1,0
2-27-7,1,0,0,0,1,0
2-29-1,1,1,0,0,0,0
2-30-2,1,0,0,1,1,0
2-30-3,1,0,0,0,1,1
2-30-4,1,1,0,0,1,0
2-33-1,1,1,1,1,1,0
2-34-1,1,1,0,0,1,0
2-34-2,1,0,0,0,1,0
2-34-3,1,0,1,0,1,0
2-34-4,1,0,0,0,1,0
2-34-5,1,1,0,0,0,0
2-36-1,1,1,1,1,1,0
2-38-1,1,0,1,0,1,0
2-38-2,1,1,0,1,1,0
2-40-1,1,1,0,1,1,0
2-41-1,1,0,1,1,1,0
2-42-1,1,1,0,1,1,0
2-42-2,1,1,1,0,1,0
2-43-1,0,,,,,0
2-44-1,1,0,1,0,1,0
2-44-3,1,1,1,1,1,0
2-44-4,1,0,1,2,2,0
2-44-5,1,1,0,0,1,0
2-45-1,1,1,1,1,1,0
2-46-1,1,0,1,0,1,0
2-46-2,1,1,0,1,1,0
2-46-3,1,0,0,0,1,0
2-46-4,1,0,1,0,1,0
2-46-5,1,1,1,0,1,0
2-46-6,1,0,0,0,1,0
2-46-7,1,1,1,0,1,0
2-46-8,1,1,0,1,0,0
2-46-9,1,0,1,0,1,0
2-47-1,1,1,0,1,1,1
2-47-2,1,1,1,1,1,1
2-50-1,1,1,1,1,1,0
2-52-1,1,1,1,1,1,0
2-53-1,1,1,1,1,1,0
2-53-2,1,1,0,1,1,0
2-53-3,1,1,0,1,1,0
2-54-1,1,0,0,0,1,0
2-54-2,1,0,0,0,1,0
2-54-4,1,1,1,0,1,0
2-55-1,0,,,,,0
2-55-2,1,0,0,0,1,0
2-56-1,1,0,0,0,1,0
2-56-2,1,0,0,0,1,0
2-56-3,1,0,0,0,1,0
2-56-4,1,1,0,1,1,0
2-56-5,1,1,0,1,1,0
2-57-1,1,0,0,0,1,0
2-57-2,1,0,0,0,1,0
3-1-1,1,0,1,1,1,0
3-1-2,1,0,1,0,1,0
3-1-3,1,1,1,0,1,0
3-1-4,1,1,1,0,1,0
3-1-5,1,0,1,0,1,0
3-2-1,1,1,0,1,1,0
3-2-2,1,1,0,1,1,0
3-3-1,1,1,0,1,0,0
3-5-1,1,1,1,1,1,0
3-6-1,,,,,,
3-9-1,1,0,0,0,1,0
3-9-2,1,1,1,1,1,0
3-9-3,1,1,1,1,0,1
3-10-1,1,0,1,0,1,0
3-10-2,1,1,1,1,1,0
3-11-1,1,1,0,1,1,0
3-12-1,1,1,1,1,1,0
3-15-a-1,1,1,0,0,1,0
3-15-b-1,1,0,0,0,1,0
3-16-1,1,1,0,1,0,0
3-18-1,1,0,0,0,1,0
3-18-2,1,1,0,1,1,0
3-18-3,1,1,1,0,0,0
3-18-4,,,,,,
3-18-5,1,1,1,1,1,0
3-18-6,1,1,0,1,1,2
3-18-7,1,1,1,0,1,1
3-18-8,1,1,0,0,1,2
3-18-9,1,0,0,0,1,0
3-18-10,1,1,1,1,1,0
3-18-11,1,1,0,0,1,0
3-18-12,1,1,1,1,1,0
3-18-13,1,1,1,0,1,0
3-18-14,1,1,0,1,0,0
3-19-1,1,0,0,0,1,0
3-20-1,1,1,1,1,1,0
3-20-2,1,1,0,0,0,0
3-21-1,1,1,0,1,1,2
4-1-1,1,1,1,1,1,1
4-1-2,1,1,1,0,0,1
4-1-3,1,1,1,1,1,0
4-1-4,1,1,0,0,1,1
4-1-5,1,0,0,0,1,0
4-1-7,1,1,0,1,1,1
4-1-8,1,1,0,0,1,1
4-1-9,1,1,1,0,1,1
4-1-10,0,,,,,1
4-1-12,1,1,1,1,1,0
4-1-13,1,0,0,0,0,0
4-1-14,1,1,1,0,1,0
4-1-15,1,0,0,0,1,0
4-1-16,1,1,0,0,1,0
4-1-17,1,1,1,0,1,0
4-1-18,1,1,1,1,0,1
4-1-19,1,1,0,0,1,0
4-1-20,1,1,0,0,0,1
4-1-21,1,1,1,1,1,1
4-1-22,1,1,1,0,0,1
4-1-23,1,1,1,0,1,1
4-1-24,1,1,1,0,1,0
4-1-25,1,0,0,1,1,0
4-2-1,1,0,1,0,1,0
4-2-2,1,0,0,0,1,0
4-2-3,0,,,,,0
4-2-4,0,,,,,1
4-2-5,1,1,0,0,0,0
4-2-6,1,1,0,0,1,0
4-3-2,1,1,1,1,1,1
4-3-3,1,1,0,1,1,1
4-4-1,1,1,0,0,1,0
4-4-2,1,0,0,0,1,0
4-4-3,1,1,1,1,1,1
4-4-4,0,,,,,0
4-5-1,1,1,1,0,1,0
4-6-1,1,1,0,1,1,0
4-6-2,1,1,0,0,1,0
4-6-3,1,1,1,1,1,0
4-6-4,1,0,0,0,1,2
4-6-5,0,,,,,0
4-6-6,1,0,1,0,1,0
4-6-7,1,1,0,0,1,0
4-7-1,1,1,1,1,1,0
4-7-2,1,1,0,1,1,0
4-8-1,1,1,0,1,0,0
4-9-1,1,1,1,1,1,
4-10-1,1,1,0,0,1,0
4-10-2,1,1,0,1,1,0
4-10-3,1,1,1,1,1,0
4-12-1,1,0,1,0,1,0
4-12-2,1,0,1,0,1,0
4-12-3,1,1,0,0,1,0
4-12-4,1,1,1,1,1,0
4-12-5,1,1,0,0,1,0
4-13-1,1,1,1,1,1,0
4-13-2,1,1,0,0,1,0
4-13-3,1,1,2,0,0,0
4-13-4,1,1,0,0,1,0
4-13-5,1,1,0,0,1,0
4-13-6,0,,,,,0
4-13-7,1,1,0,1,1,0
4-17-1,1,0,0,1,1,0
4-18-1,1,1,0,1,1,0
4-18-2,0,,,,,0
4-18-3,1,1,0,0,0,0
4-18-4,0,,,,,0
4-18-5,1,1,0,1,1,0
4-19-1,1,1,0,0,1,1
4-19-2,1,1,0,0,1,0
4-19-3,0,,,,,0
4-19-4,1,0,0,0,1,0
4-19-6,1,1,0,1,1,0
4-19-7,2,,,,,0
4-19-8,1,1,0,0,1,0
4-20-1,1,1,1,1,0,1
4-21-1,1,1,0,1,0,1
4-21-2,1,1,0,1,1,0
4-22-1,1,1,0,1,1,0
4-22-2,1,1,0,0,1,1
4-22-3,1,0,0,0,1,2
4-22-4,1,1,1,1,1,0
4-22-5,1,0,0,0,1,0
4-22-6,1,1,1,1,1,0
4-22-7,1,0,0,0,0,0
4-22-8,1,1,1,0,0,0
4-22-9,1,1,0,0,1,0
4-23-1,1,1,0,0,0,0
4-23-2,1,0,0,0,1,0
4-23-3,1,0,0,0,1,0
4-23-4,1,1,0,1,1,2
4-23-5,1,0,0,0,1,0
4-23-6,1,0,0,1,0,0
4-23-7,1,0,0,0,0,0
4-23-9,1,1,0,0,2,0
4-23-10,1,0,0,0,1,0
4-23-11,1,1,0,1,1,1
4-23-12,1,1,0,0,1,0
4-23-13,1,1,0,0,1,0
4-24-1,1,1,1,1,1,0
4-24-2,1,1,0,1,0,2
4-24-3,1,1,1,0,1,1
4-25-1,1,1,0,1,1,0
4-25-2,1,1,1,1,0,0
4-25-3,1,1,1,0,1,1
4-26-1,1,1,0,0,0,0
4-27-1,1,0,0,0,1,0
4-28-1,1,1,0,1,1,0
4-29-1,1,1,1,1,1,0
4-30-1,1,0,0,0,1,0
4-31-1,1,1,1,0,1,0
4-31-2,1,1,1,1,1,0
4-31-3,1,0,1,0,1,0
4-31-4,1,0,1,0,1,0
4-31-5,1,1,1,0,1,0
4-32-1,1,1,0,0,0,1
4-32-2,1,1,1,1,1,0
4-33-1,2,,,,,0
4-34-1,2,2,2,2,2,2
4-34-2,1,1,1,1,1,1
4-34-3,1,1,0,0,1,1
4-34-4,1,1,1,0,1,0
4-34-5,1,1,0,1,1,0
4-34-6,1,0,1,1,1,1
4-34-7,0,,,,,0
4-34-8,0,,,,,0
4-34-9,0,,,,,0
4-34-10,,,,,,
4-35-1,1,1,0,1,1,1
4-35-2,1,1,0,1,1,0
4-35-3,1,0,0,0,1,0
4-35-4,1,1,0,1,0,1
4-35-5,1,1,1,1,1,1
4-37-1,1,1,1,0,1,0
4-37-2,1,0,0,0,1,0
4-38-1,1,0,1,0,1,0
4-38-2,2,???,???,???,???,2
4-39-1,1,1,1,1,0,0
4-39-2,1,1,1,0,1,0
4-39-3,1,1,1,1,1,0
4-39-4,1,1,0,0,1,1
4-40-1,1,1,1,1,1,1
4-41-1,1,1,0,1,0,0
4-41-2,1,2,0,1,0,0
4-43-1,1,1,0,0,1,1
4-43-2,1,1,1,0,1,0
4-43-3,1,1,0,1,1,0
4-43-4,1,1,1,0,1,0
4-43-5,1,1,1,1,1,0
4-43-6,1,1,1,1,1,0
4-44-а-1,1,1,2,0,0,1
4-44-с-1,1,1,0,0,0,2
4-44-d-1,1,0,1,0,1,0
4-44-e-1,1,1,0,0,1,0
4-44-e-2,1,1,0,0,1,0
4-44-e-3,1,1,1,0,1,0
4-44-f-1,1,1,1,0,1,0
4-45-1,1,0,0,1,1,0
4-45-2,1,1,0,1,1,0
4-45-3,1,1,0,1,1,0
4-45-4,1,1,1,0,1,1
4-47-1,1,0,0,0,1,0
4-49-1,1,1,0,0,1,0
4-49-2,1,1,0,1,1,0
4-49-3,1,1,1,0,1,0
4-49-4,1,0,1,0,1,0
4-49-5,2,???,???,???,???,0
4-50-1,1,1,0,0,1,0
4-50-2,1,1,0,0,1,0
4-51-1,1,1,0,1,1,0
4-54-2,1,1,0,0,1,1
4-55-1,1,0,1,0,1,0
4-57-1,1,1,1,1,1,1
4-57-2,1,1,1,1,1,0
4-57-3,1,0,0,1,1,1
4-57-4,1,1,1,1,1,1
4-57-5,1,1,1,0,0,0
4-57-6,1,1,0,1,1,1
4-57-7,1,1,0,0,1,0
4-57-8,1,0,0,0,1,0
4-57-9,1,1,1,0,1,0
4-58-1,1,1,0,0,1,0
4-59-1,1,0,0,0,1,0
4-61-1,1,1,0,1,1,0
4-64-1,1,0,0,0,0,0
4-69-a-1,1,1,0,0,0,0
4-69-a-2,1,1,1,1,1,0
4-69-a-3,1,1,0,0,1,0
4-69-a-4,1,1,0,1,1,0
4-69-a-5,1,1,1,1,1,1
4-69-a-6,1,1,1,1,0,0
4-69-a-7,1,1,1,1,1,1
4-69-b-1,1,1,0,1,1,0
4-69-b-2,1,0,0,0,0,0
4-70-a-1,1,1,0,1,0,1
4-70-b-1,1,1,1,1,1,0
4-71-1,1,0,0,1,1,1
4-72-1,1,0,0,0,1,0
4-76-1,1,1,0,1,1,1
4-76-2,1,1,1,1,1,0
4-77-1,1,1,0,0,1,0
4-77-2,1,1,1,1,1,0
4-77-3,1,1,0,1,1,0
4-77-4,1,1,0,1,1,0
4-77-5,1,1,0,1,1,0
4-77-6,1,0,0,1,1,2
4-77-7,1,1,1,1,1,0
4-77-8,1,0,1,0,1,0
4-78-1,1,0,0,0,1,0
4-80-1,1,1,1,1,1,1
4-81-1,0,,,,,0
4-82-1,1,1,2,1,1,1
4-83-1,1,1,1,1,1,1
4-84-1,1,0,0,0,1,0
4-85-1,1,1,1,1,0,1
4-86-1,1,1,0,1,0,0
4-89-1,2,???,???,???,???,2
5-3-1,1,0,0,0,0,0
5-3-2,1,1,1,1,1,0
5-3-3,1,1,0,1,0,1
5-3-4,1,0,0,1,1,0
5-3-6,1,1,0,1,0,0
5-4-1,1,1,0,1,1,0
5-4-2,0,,,,,0
5-4-3,1,1,0,1,1,0
5-4-4,1,0,1,0,1,0
5-4-5,1,1,0,0,1,0
5-4-6,1,1,0,0,0,1
5-6-2,1,1,0,0,1,0
5-6-3,1,1,1,0,1,0
5-6-4,1,0,0,0,1,1
5-7-1,1,0,0,1,0,0
5-8-a-1,1,0,0,0,1,0
5-8-b-1,1,1,0,1,1,0
5-8-b-2,1,1,0,1,1,1
5-8-b-3,1,1,0,0,1,0
5-10-1,1,1,1,0,1,0
5-10-2,1,1,0,1,1,1
5-11-1,1,0,1,1,1,0
5-12-1,1,1,0,1,1,0
5-12-2,1,1,0,1,1,0
5-12-3,1,1,0,1,1,1
5-12-4,1,1,0,1,1,0
5-13-1,1,0,0,0,1,1
5-13-2,1,1,1,1,1,1
5-13-3,1,0,1,0,1,2
5-14-1,1,1,0,0,0,1
5-16-1,1,1,1,1,1,1
5-17-1,1,1,0,0,1,
5-20-a-1,1,0,1,0,1,0
5-20-b-1,0,,,,,0
5-21-1,1,1,0,0,1,0
5-21-2,1,1,1,0,1,0
5-21-3,0,,,,,0
5-22-1,1,0,0,0,1,1
5-23-1,1,1,0,0,1,0
5-23-2,1,1,0,1,1,0
5-23-3,1,1,0,1,1,0
5-23-4,1,1,1,1,1,0
5-23-5,1,1,1,1,1,1
5-23-6,1,1,0,1,1,0
5-23-7,1,1,0,1,1,1
5-24-1,1,1,0,1,1,0
5-24-2,1,1,0,0,1,2
5-26-1,1,1,0,1,1,0
5-26-2,1,1,1,1,1,1
5-27-1,1,1,0,1,1,1
5-27-2,1,0,1,1,1,0
5-28-1,1,0,0,0,1,0
5-30-1,1,1,0,0,1,0
5-31-1,1,0,0,1,1,0
5-32-1,1,0,0,1,0,0
5-34-1,1,0,0,0,1,0
5-34-2,1,0,0,0,1,0
5-37-1,1,1,0,1,1,0
5-44-1,1,0,0,0,0,0
6-1-1,1,0,1,1,1,0
6-1-2,1,1,0,1,1,0
6-1-3,1,0,0,1,1,1
6-1-4,1,1,1,1,1,0
6-1-6,1,1,0,1,1,1
6-1-7,1,0,0,1,1,0
6-1-8,1,1,1,1,1,0
6-1-9,1,1,1,1,1,0
6-1-10,1,1,1,1,1,0
6-1-11,2,0,0,0,0,2
6-2-a-1,1,0,1,0,1,0
6-2-b-1,1,0,0,0,1,0
6-2-e-1,1,0,0,1,1,1
6-2-f-1,1,0,0,0,1,0
6-2-f-2,1,1,0,0,1,0
6-2-f-3,1,0,0,1,1,1
6-2-f-4,1,1,1,1,1,0
6-2-g-1,1,1,0,1,1,0
6-2-g-2,1,0,0,0,1,0
6-2-g-3,1,1,1,1,1,0
6-5-a-1,1,0,1,0,1,0
6-5-a-2,1,0,0,0,1,0
6-5-a-3,1,1,0,0,1,0
6-5-b-1,1,1,0,1,1,0
6-5-b-2,1,0,1,1,1,0
6-5-b-3,1,1,0,1,1,0
6-5-b-4,1,1,1,0,1,1
6-6-a-1,1,1,0,1,1,1
6-6-a-2,1,0,0,0,1,0
6-7-1,1,0,0,1,1,0
6-7-2,1,0,0,0,1,0
6-7-3,1,1,1,1,1,0
6-7-4,0,,,,,0
6-7-6,1,1,1,0,1,0
6-7-7,1,1,0,1,0,0
6-8-1,1,0,0,0,1,2
6-8-2,1,0,0,0,1,0
6-8-4,1,0,0,1,1,0
6-8-5,1,0,0,0,1,2
6-8-6,1,0,0,0,1,0
6-9-1,1,0,0,0,1,0
6-9-4,1,1,1,1,1,0
6-9-6,1,1,1,1,1,0
6-9-7,1,0,0,0,1,1
6-9-8,1,1,1,1,1,0
6-9-10,1,1,1,1,1,0
6-9-11,1,1,1,1,1,0
6-9-12,1,1,0,1,1,1
6-9-13,1,1,0,1,1,1
6-10-1,1,0,1,0,1,0
6-10-2,1,0,0,1,1,0
6-10-3,1,1,0,1,1,0
6-10-4,1,0,1,1,1,0
6-10-5,1,1,0,1,1,0
6-10-6,1,0,1,1,1,0
6-10-7,1,1,1,1,1,1
6-11-a-1,1,1,0,1,1,0
6-11-a-2,1,1,0,1,1,0
6-11-a-3,1,1,0,0,1,1
6-11-a-4,1,0,0,1,1,0
6-11-a-5,1,0,0,0,1,0
6-11-a-6,1,1,1,1,1,0
6-11-a-7,1,1,0,1,1,0
6-11-a-8,1,1,0,1,1,0
6-11-b-1,1,1,1,1,1,0
6-11-b-2,1,1,0,0,1,1
6-11-c-1,1,0,1,1,1,1
6-11-c-3,1,0,1,1,1,0
6-11-c-5,1,1,1,1,1,0
6-11-c-6,1,1,0,0,1,0
6-12-1,1,1,0,0,1,1
6-13-1,1,1,1,1,1,0
6-15-1,1,0,0,0,1,0
6-16-1,1,0,0,0,1,0
6-18-a-1,1,1,1,1,1,0
6-18-a-2,1,1,0,0,1,1
6-18-f-1,1,1,1,0,1,1
6-21-2,1,0,0,0,1,0
6-22-1,1,1,0,1,0,0
6-24-b-1,1,0,1,1,1,0
6-25-1,1,0,1,1,1,0
6-27-1,1,0,0,0,1,0
6-27-2,1,0,1,1,1,0
7-2-1,1,1,1,1,1,0
7-2-2,1,1,1,1,1,0
7-2-3,1,1,1,1,1,0
7-2-4,1,1,0,1,1,1
7-3-1,1,1,1,1,1,0
7-3-2,1,1,0,0,1,1
7-3-3,1,1,0,1,1,1
7-3-4,0,,,,,0
7-4-1,1,0,0,0,1,0
7-4-2,1,1,0,1,1,0
7-4-3,0,,,,,0
7-4-4,1,1,1,1,1,0
7-4-5,1,1,0,0,1,0
7-4-6,1,1,0,1,1,0
7-5-1,1,1,1,1,1,1
7-8-ab-1,1,1,0,1,1,0
7-8-ab-2,1,1,0,0,1,0
8-1-1,1,1,1,1,1,1
8-2-1,1,1,1,1,1,1
8-2-2,1,1,1,1,1,1
8-2-3,1,0,1,1,1,0
8-2-4,1,1,1,1,1,1
8-4-1,1,0,1,1,1,0
8-5-a-1,1,1,1,1,1,0
8-5-bc-1,1,0,0,1,1,0
8-6-1,1,1,0,1,1,0
8-7-1,0,,,,,0
8-7-2,1,0,1,1,1,0
8-8-b-1,1,1,1,1,1,0
8-8-b-2,1,0,0,0,0,0
8-8-b-3,1,1,0,1,0,0
8-8-b-4,1,1,0,1,1,0
8-8-b-5,1,1,1,1,1,0
9-1-1,1,1,1,1,1,0
9-2-1-1,1,1,1,1,0,1
9-2-1-2,1,1,1,1,1,0
9-2-1-3,1,1,1,1,1,0
9-2-1-4,1,1,1,1,1,0
9-2-1-5,1,1,1,1,1,1
9-3-1,0,,,,,1
9-6-1,0,,,,,0
9-7-1,1,1,1,1,1,0
9-8-1,1,1,0,0,1,0
9-11-2,1,1,1,1,1,0
9-11-3,1,1,1,1,1,0
9-12-1,1,1,1,1,1,0
9-13-1,1,0,0,0,0,0
9-13-2,1,1,0,1,0,1
9-13-4,1,1,0,0,1,0
9-14-1,1,1,1,0,1,0
9-15-1,1,0,1,1,1,0
9-16-1,1,0,0,0,1,0
9-18-1,1,1,0,1,1,0
10-1-1,1,1,1,1,1,0
10-1-2,1,1,0,1,1,0
10-1-3,1,0,0,1,1,0
10-1-4,1,0,1,0,1,0
10-1-5,1,1,0,1,0,0
10-4-а-1,1,1,0,0,1,0
10-6-1,1,1,0,0,1,0
10-6-2,???,???,???,???,???,???
10-6-3,1,1,0,0,1,0
10-6-4,1,1,1,0,1,0
10-6-6,1,1,1,0,1,0
10-6-7,1,1,0,0,1,0
10-7-ab-1,1,1,1,1,1,0
10-7-ab-2,0,,,,,0
10-7-ab-3,1,0,0,0,1,0
10-9-1,1,1,0,0,1,0
10-10-1,1,1,1,1,1,0
10-10-2,1,0,0,0,1,0
10-10-3,1,0,0,0,1,0
10-11-1,1,1,1,1,1,1
10-11-2,0,,,,,1
10-13-1,1,1,1,1,1,0
10-16-1,1,1,0,1,0,0
10-16-2,1,1,0,1,1,0
10-18-1,1,1,0,1,1,1
10-18-2,1,1,0,1,1,0
10-22-1,1,1,1,0,0,0
10-24-1,0,,,,,0
10-25-1,1,1,1,1,1,0
10-26-1,1,1,0,1,1,1
10-29-a-1,1,1,0,0,1,0
11-1-d-2,1,1,0,0,0,0
11-1-d-3,1,1,0,0,0,1
11-2-1,1,1,0,1,1,1
12-2-1,1,1,0,1,1,1
12-2-2,1,1,1,1,1,1
12-3-1,1,0,0,0,1,0
12-7-1,1,1,0,1,1,0
